"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","key_press","rt_audio","designation","responded_to_audio","N","TYPE","HIT","FA","HIT_1B","HIT_2B","HIT_3B","FA_1B","FA_2B","FA_3B"
"pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","","",""
"html-button-response","1","17154","0.0-1.0-0.0-0.0","17144","<p>You will now complete an auditory memory task. This will take approximately 15 minutes.</p><p>To learn more about the task, please advance to the next screen.","0","","","","","","","","","","","","","",""
"html-button-response","2","26545","0.0-1.0-0.0-1.0","9139","<p>In this task, you will hear a sequence of letters. The letters will be presented one at a time, and a new sound will play every 2.5 seconds.<p>Your job is to listen closely to these sounds for specific kinds of <b>repeats</b>.</p>","0","","","","","","","","","","","","","",""
"html-button-response","3","55113","0.0-1.0-0.0-2.0","28302","<p>If you are asked to complete a <b>1-back</b>, you must press SPACEBAR every time the current sound matches the sound presented <b>one</b> position previously.<br>Otherwise, you do not have to respond.</p><p>For example, imagine you heard the following sound sequence:</p><p style='color:darkblue'>B...D...<b style='color:red'>D</b>...F...<b style='color:red'>F</b>...<b style='color:red'>F</b>...C...E...</p><p>You would respond to the sounds printed in <b style='color:red'>red</b>, as these were repeated <b>one</b> position previously.</p><p></p>","0","","","","","","","","","","","","","",""
"html-button-response","4","74409","0.0-1.0-0.0-3.0","19029","<p>If you are asked to complete a <b>2-back</b>, you must press SPACEBAR every time the current sound matches the sound presented <b>two</b> positions previously.<br>Otherwise, you do not have to respond.</p><p>For example, imagine you heard the following sound sequence:</p><p style='color:darkblue'>B...D...<b style='color:red'>B</b>...C...<b style='color:red'>B</b>...<b style='color:red'>C</b>...E...F...</p><p>You would respond to the sounds printed in <b style='color:red'>red</b>, as these were repeated <b>two</b> positions previously.</p><p></p>","0","","","","","","","","","","","","","",""
"html-button-response","5","84264","0.0-1.0-0.0-4.0","9589","<p>If you are asked to complete a <b>3-back</b>, you must press SPACEBAR every time the current sound matches the sound presented <b>three</b> positions previously.<br>Otherwise, you do not have to respond.</p><p>For example, imagine you heard the following sound sequence:</p><p style='color:darkblue'>B...D...G...<b style='color:red'>B</b>...<b style='color:red'>D</b>...C...E...<b style='color:red'>D</b>...</p><p>You would respond to the sounds printed in <b style='color:red'>red</b>, as these were repeated <b>three</b> positions previously.</p><p></p>","0","","","","","","","","","","","","","",""
"html-button-response","6","91552","0.0-1.0-0.0-5.0","7029","<p>As you can imagine, the task becomes harder as the delay (1, 2, or 3) increases.</p><p>Please make sure you are in a quiet listening environment and free from distraction.<br>You will receive breaks approximately every 90 seconds to minimize fatigue.</p>","0","","","","","","","","","","","","","",""
"html-button-response","7","98225","0.0-1.0-0.0-6.0","6405","<p>This concludes the introduction to the memory task.</p><p>Please advance to the next screen to receive further instructions.</p>","0","","","","","","","","","","","","","",""
"html-button-response","8","103840","0.0-1.0-1.0-0.0","5353","<p>You will now complete a <strong>1-back.</strong></p><p>Remember, this means that you should press SPACEBAR every time the sound you hear matches the one presented <strong>1</strong> position(s) previously.</p>","0","","","","","","","","","","","","","",""
"audio-keyboard-response","9","106344","0.0-1.0-1.0-1.0-0.0","null","letters/5.wav","","null","null","n-back-trial","0","1","FIRSTS","","0","","","","","",""
"audio-keyboard-response","10","108857","0.0-1.0-1.0-1.1-0.1","null","letters/2.wav","","null","null","n-back-trial","0","1","NT","","0","","","","","",""
"audio-keyboard-response","11","111376","0.0-1.0-1.0-1.2-0.2","null","letters/4.wav","","null","null","n-back-trial","0","1","NT","","0","","","","","",""
"audio-keyboard-response","12","113877","0.0-1.0-1.0-1.3-0.3","1131","letters/4.wav","","32","1131","n-back-trial","1","1","T","1","","","","","","",""
